text,emotion
我居然忘了今天是我們的周年紀念日！,驚奇語調
我真的覺得一切都不順利。,悲傷語調
我剛剛完成了一個大項目，感覺一身輕。,開心語調
我今天又沒考好，真的很失望。,悲傷語調
我對於這個我從未見過的情況感到非常不安。,平淡語氣
我已經告訴他很多次了，他還是一直做錯。,憤怒語調
我剛剛收到了一封很好的消息！,開心語調
我今天打算去超市。,平淡語氣
這部電影的劇情真的不知道在演什麼。,厭惡語調
你覺得這個主意怎麼樣？,平淡語氣
我竟然在海洋廣場遇到了我國中同學！,驚奇語調
我最近覺得天在跟我作對。,悲傷語調
我今天買到了我很想看的書。,開心語調
我很怕等下的的考試會考很爛。,平淡語氣
為什麼每次都是我最後一個被通知。,憤怒語調
我打算下週去旅遊。,平淡語氣
我竟然在路上看到一隻熊！,驚奇語調
我覺得我最近的努力都沒有得到回報。,悲傷語調
我剛剛完成了一個很重要的項目。,開心語調
幹！沈浩霖總是打斷我講話。,憤怒語調
今天的天氣如何？,平淡語氣
我聽說最近有一個地方很危險，我有點擔心。,平淡語氣
我真的受不了這種無聊的會議。,厭惡語調
為什麼我的意見總是被忽略？,憤怒語調
我最近學會了一個新的東西，有點爽。,開心語調
昨天半夜的時候我聽到奇怪的聲音，我有點害怕。,平淡語氣
我今天升主管了，超開心的！,開心語調
我超不爽我王郁潔，他總是把工作推給我！,憤怒語調
那家餐廳的食物真的很難吃，害我一整天的心情都不好。,厭惡語調
最近壓力好大，快死了。,悲傷語調
我剛剛看到一隻貓從樹上跳了下來，還沒事欸！,驚奇語調
我週末可以幹嘛？,平淡語氣
我剛剛完成了我的第一個程式報告！,開心語調
我有點擔心明天的考試，感覺準備得不夠好。,平淡語氣
我真的受夠了他怎麼敢提這種要求啊！到底有沒有動腦？,憤怒語調
我覺得最近大家都好冷淡，都沒人理我。,悲傷語調
哇靠！我剛剛發現我中了發票！,驚奇語調
我剛剛吃到一個噁心的漢堡，吃下去真的讓我差點吐出來。,厭惡語調
今天的天氣真好，很適合打球。,開心語調
我最近壓力好大，覺得很累。,悲傷語調
你知道嗎？我剛剛碰到了一個我以為再也見不到的人欸！,驚奇語調
最近疫情好像又變嚴重了，我有點擔心。,平淡語氣
我剛剛在比賽中拿到了第一名！,開心語調
我今天去了一家餐廳，媽的！服務態度超差！,厭惡語調
幹！我的手機又壞了，唉！,憤怒語調
我最近感覺自己做什麼都很不順，有點沒自信。,悲傷語調
你知道嗎？我們以前的老師現在變成了作家！,驚奇語調
晚上有空嗎？要不要去看場電影。,平淡語氣
今天開會的時候，有人一直打斷我的話，真的很不爽。,厭惡語調
我已經訂好了我們下週要住的旅館囉！超期待的！,開心語調
我最近真的覺得生活失去了方向。,悲傷語調
最近聽說公司要裁員，我好怕自己會被波及。,平淡語氣
我剛收到通知，我錄取了清大！,開心語調
我真的受不了，每次都是我加班，別人都不做事！,憤怒語調
我真的討厭那種一直吹自己有多強的人。,厭惡語調
我的狗狗生病了，我好擔心牠。,悲傷語調
你知道嗎？李維哲居然要去環遊世界了！,驚奇語調
今天晚上吃什麼好呢？,平淡語氣
我今天遇到的那個人真的很沒品。,厭惡語調
終於完成了這個專案，真是太開心了！,開心語調
最近的事情讓我覺得壓力好大，總是沒有動力做事情。,悲傷語調
我明天要去做健康檢查，有點緊張。,平淡語氣
我終於把我的論文寫完了，真舒服！,開心語調
幹！我的網路又斷了，這已經是今天的第三次了！,憤怒語調
今天去的那家咖啡店，環境真的很糟糕。,厭惡語調
我最近一直覺得心情很低落，什麼事情都提不起勁。,悲傷語調
我剛剛發現我的老同學現在變成了明星！,驚奇語調
這個週末要不要一起去公園走走？,平淡語氣
那個人每次都說些很噁心的話，我真的很討厭他。,厭惡語調
我剛換了新手機，超級喜歡！,開心語調
最近工作一直不順利，覺得好累。,悲傷語調
我剛才夢到被人追殺，幹超恐怖的！,平淡語氣
我終於買到了那款限量版的鞋子！等了超久的！,開心語調
我跟主管反應問題，結果他完全不想理我！,憤怒語調
那家餐廳的菜真的不行，油膩到不行。,厭惡語調
最近和家人的關係有點緊張，讓我心情很差。,悲傷語調
你知道嗎？張景祥居然辭職去開了自己的公司！,驚奇語調
你明天有空嗎？要不要一起去喝杯咖啡。,平淡語氣
我真的無法忍受高芸茜，他真的超愛抱怨，一點小事都可以說一整天。,厭惡語調
我今天終於完成了我的健身目標，我現在超級壯的，哈哈！,開心語調
我朋友要搬到國外了，有點難過。,悲傷語調
我剛剛看到新聞說最近治安不好，我有點怕出門。,平淡語氣
我今天考試拿了滿分！,開心語調
老闆居然讓我加班，明明說好下班就可以走的！,憤怒語調
我剛剛去的那家店服務態度很差，真不想再去。,厭惡語調
我今天真的過得很糟，所有事情都不順。,悲傷語調
你知道嗎？我剛碰到了一個小時候的朋友，真沒想到會在這裡遇見他！,驚奇語調
這週末我們可以去爬山，你覺得怎麼樣？,平淡語氣
他講話真的有點賤，感覺一直諷刺人。,厭惡語調
我今天完全沒想到她會送我禮物，超級開心的！,開心語調
我感覺最近跟朋友的關係變得有點冷淡。,悲傷語調
我今天要去看牙醫，從小到現在牙醫都是我的惡夢，好緊張喔！,平淡語氣
我剛買了我一直想要的那台筆電，我存了很久的錢終於存到了，超舒服的！,開心語調
我訂的快遞竟然被弄丟了，會不會太誇張！,憤怒語調
今天公司午餐的味道真的不行，有夠難吃。,厭惡語調
我好想我的家人，已經好久沒見到他們了。,悲傷語調
我剛收到一個來自陌生人寄來的包裹！,驚奇語調
下週有沒有時間一起去看展覽？,平淡語氣
那個人真的是超沒禮貌了，我沒辦法想像他父母怎麼教的。,厭惡語調
我剛學會了一個新技能，現在超有成就感！,開心語調
最近壓力好大，感覺自己快撐不住了。,悲傷語調
我剛接到一個陌生電話，感覺是詐騙。,平淡語氣
我終於學會游泳了！不會再被笑了！,開心語調
我真的無法忍受他那副自以為是的樣子！,憤怒語調
今天吃的那個點心，真的超難吃的。,厭惡語調
最近的日子過得真是難熬，感覺什麼都不順。,悲傷語調
我剛剛在全家（便利商店）遇到了以前的老師！,驚奇語調
你覺得這件事要怎麼處理比較好？,平淡語氣
這件衣服的材質摸起來不怎麼好，完全不想穿。,厭惡語調
我今天發現了一家超棒的小吃店，食物很讚又便宜！,開心語調
我覺得最近和朋友的關係越來越疏遠，心裡很難過。,悲傷語調
我最近想換個工作。,平淡語氣
我居然在IG上看到了我以前的同學。,驚奇語調
最近好像都是一個人。,悲傷語調
今天晚上有要幹嘛嗎？,平淡語氣
我達成了一個長期的目標，我非常滿意。,開心語調
我很害怕未來要幹嘛。,平淡語氣
我真的很討厭做這種繁瑣的工作。,厭惡語調
我很不滿意這個決定。,憤怒語調
我今天打算要處理一些文件。,平淡語氣
我沒想到我會得到這個獎項！,驚奇語調
我覺得我沒有拿到應有回報。,悲傷語調
我剛剛收到了一個稱讚，真的很開心。,開心語調
今天的工作還算順利。,平淡語氣
這次演講我非常緊張。,平淡語氣
我真的不喜歡看無聊的節目。,厭惡語調
為什麼我總是要替別人的錯誤負責？,憤怒語調
我終於升職了，真的很開心！,開心語調
我最近在學習一門新技能。,平淡語氣
我最近很低落，好像我什麼都做不好。,悲傷語調
我發現陳彥樺竟然會說西班牙語！,驚奇語調
為什麼每次都要在最後一刻才改變計劃？,憤怒語調
我想了解更多關於海洋生態的資訊。,平淡語氣
我擔心我沒辦法完成這個重要的項目。,平淡語氣
我剛買了一部新的iPhone16 ，感覺真棒！,開心語調
我最近和陳思愷的關係變得很緊張。,悲傷語調
我竟然在旅行中遇到了我以前的同事！,驚奇語調
這裡的食物真的很難吃。,厭惡語調
我最近在整理我的日程表。,平淡語氣
我好怕這次考試失常。,平淡語氣
今天的電影蠻好看的。,開心語調
我最近總覺得很孤單。,悲傷語調
我今天在街上看到一隻很大的狗。,驚奇語調
這次的服務態度超爛。,憤怒語調
我在想要不要培養新的技能。,平淡語氣
我好怕以後沒有工作。,平淡語氣
我今天遇到了一個很久沒見的老朋友。,開心語調
我覺得最近做什麼都好無助。,悲傷語調
我的媽媽竟然為我準備了一個驚喜派對！,驚奇語調
我買了新的書。,平淡語氣
今天我收到了我夢寐以求的禮物！,開心語調
我覺得最近的努力都沒有得到想要的結果。,悲傷語調
我昨天在圖書館遇到了一位著名的作家。,驚奇語調
為什麼每次都要等到最後一刻才解決問題？,憤怒語調
我在考慮換工作。,平淡語氣
我好怕在面試中表現不好。,平淡語氣
我今天試了一個新的食譜，結果超好吃！,開心語調
我最近很難找到可以休息的時間。,悲傷語調
我竟然在IG上看到了一個非常奇怪的貼文。,驚奇語調
為什麼我總是被忽視？,憤怒語調
我今天做了個關於工作的計劃。,平淡語氣
我對新環境都會感到很不安。,平淡語氣
我收到了朋友送的生日禮物，超開心的！,開心語調
我最近感覺自己被朋友孤立了。,悲傷語調
我昨天在街上碰到了我的偶像。,驚奇語調
我非常反對這個新的政策。,厭惡語調
我今天學到了很多新知識。,平淡語氣
我最近有點擔心我的健康狀況。,平淡語氣
我今天做了一件很有意義的事情。,開心語調
最近一直覺得自己的心情處於低谷。,悲傷語調
我在學校發現了一個非常有趣的社團。,驚奇語調
為什麼每次都會有這麼多的麻煩？,憤怒語調
我最近在學習怎麼寫程式。,平淡語氣
我和朋友之間的關係變得有點緊張。,悲傷語調
我終於完成了我一直想做的項目！,開心語調
我最近對我的工作環境非常不滿意。,憤怒語調
我在圖書館找到了一本非常少見的書。,驚奇語調
我對未來的計劃感到很焦慮。,平淡語氣
我真的受夠了這些無聊的會議。,厭惡語調
我正在整理我的書桌。,平淡語氣
我今天獲得了一個獎！,開心語調
我覺得自己在工作上沒有得到應有的認可。,悲傷語調
我昨天看到了一條新聞，它讓我改變了我的生活。,驚奇語調
總是有人在會議上打斷我的發言。,憤怒語調
我今天去了超市。,平淡語氣
我好怕會錯過截止日期。,平淡語氣
我最近學會了一項新技能。,開心語調
我最近很孤單。,悲傷語調
我最近遇到了一位以前的老朋友。,驚奇語調
我覺得自己總是被別人忽略。,憤怒語調
我今天有點累。,平淡語氣
我最近參加了一個有趣的營隊。,開心語調
我對某些事情感到非常失望。,悲傷語調
我發現了一個我從沒去過的地方。,驚奇語調
我們昨天晚上玩了一個超好玩的桌遊！,開心語調
我昨天輸了比賽。,悲傷語調
隊友總是把我搞得很生氣。,憤怒語調
最近我在玩一個新遊戲。,平淡語氣
我竟然在遊戲裡獲得了第一名。,驚奇語調
我今天打籃球打得非常開心。,開心語調
那個裁判真的很不公平，完全偏心對方。,憤怒語調
我們今天有一場籃球比賽。,平淡語氣
我最近的表現一直不如預期。,悲傷語調
我的朋友竟然打破了校隊的紀錄！,驚奇語調
我剛剛在IG上發布了一則貼文。,平淡語氣
我在IG上的貼文得到了很多按讚！,開心語調
我的IG帳號被盜了。,悲傷語調
有人在我的貼文下留了一則攻擊性的評論。,憤怒語調
我看到了一個非常驚人的貼文，它有很多人分享。,驚奇語調
我剛學會了彈小星星，練了超久終於學會了！,開心語調
今天排練的時候，他居然又沒來，每次都這樣！,憤怒語調
下週的成果發表，我好緊張，怕彈錯。,平淡語氣
今天社團的音響設備又出問題，直接狂暴音。,厭惡語調
最近練吉他好累，覺得自己怎麼練都沒進步。,悲傷語調
你知道嗎？社長居然在一個比賽上得了冠軍！,驚奇語調
我剛剛寫的程式終於成功，之前一直報錯，超爽的！,開心語調
我的電腦突然崩潰了，他沒給我存檔，我寫的程式全沒了，我快哭了！,憤怒語調
老師說下週要交專案，我還什麼都沒做，頭好痛！,平淡語氣
這堂課的軟體操作真的好複雜，我完全搞不懂。,厭惡語調
我怎麼試都無法解決這個bug，感覺自己好沒用。,悲傷語調
老師今天居然用Python寫了一個FPS遊戲，超酷的！,驚奇語調
我剛在市場找到一個超便宜的水果攤，這些水果好蠻新鮮的！,開心語調
這個商店的價格居然比上次貴了好多，漲那麼多真的太誇張了！,憤怒語調
這裡人太多了，我有點擔心會不會被扒手盯上。,平淡語氣
這家賣的肉看起來不太新鮮，我不敢買。,厭惡語調
我今天沒帶夠錢，很多想買的東西都沒法買了。,悲傷語調
哇！這裡有個賣古董的攤位，我從來沒在夜市見過這種東西！,驚奇語調
昨晚的比賽太精彩了！勇士隊終於贏了，超爽的！,開心語調
裁判的判決太不公平了，我覺得我們被陰了！,憤怒語調
你知道嗎？Lebron昨晚居然又破了一項紀錄，太不可思議了！,驚奇語調
唉，湖人隊又輸了，今年季後賽估計沒希望了。,悲傷語調
我很擔心我們的主力球員受傷，這會影響我們進季後賽的機會。,平淡語氣
我真的不喜歡那個球員的打法，他給我的感覺是一直想要自己來。,厭惡語調
這裡的風景太美了！真是個露營的好地方。,開心語調
帳篷的支架居然壞了！真是氣死我了。,憤怒語調
天好像快黑了，我有點擔心找不到路回營地。,平淡語氣
哎，蚊子實在太多了，真的很煩。,厭惡語調
我們準備的食物好像不夠，感覺有點失策。,悲傷語調
那天的星星好亮，太漂亮了！,驚奇語調
這場演唱會太棒了！現場氣氛超嗨！,開心語調
後面那個人一直推我，真的很沒禮貌！,憤怒語調
人太多了，我有點害怕出事。,平淡語氣
天啊！楊愷安居然在台上即興演奏，這太讓人意外了！,驚奇語調
這音響效果好像不太好，聲音有點失真。,厭惡語調
唉，演唱會快結束了，真有點捨不得。,悲傷語調
我剛中了一個超大的獎！真的不敢相信！,開心語調
今天早上上班的時候又塞車，又遲到了！,憤怒語調
我有點怕明天的面試，不知道自己準備得夠不夠。,平淡語氣
你知道嗎？我居然在書店碰到了我小學同學！,驚奇語調
這咖啡味道好怪，不想喝了。,厭惡語調
我最近覺得自己很沒用，什麼事都做不好。,悲傷語調
我剛升職了！終於盼到了這一天！,開心語調
我今天和朋友吵架了，感覺很糟糕。,悲傷語調
我的老闆今天真是太過分了，毫無理由地指責我！,憤怒語調
我明天要去參加一個很重要的面試，好緊張。,平淡語氣
你知道嗎？隔壁的鄰居竟然中了樂透！,驚奇語調
今天午餐的味道太噁心了，我一口都吃不下。,厭惡語調
週末有什麼計劃嗎？,平淡語氣
我剛學會了做蛋糕，真是太有成就感了！,開心語調
我的手機昨天摔壞了，修理費好貴，我現在心情很差。,悲傷語調
我真的受不了，這家公司的服務態度差到不行！,憤怒語調
剛剛在路上遇到一群流浪狗，嚇死我了。,平淡語氣
你聽說了嗎？我們學校居然被選為全市最優秀學校！,驚奇語調
今天的天氣又悶又熱，我真的受不了了。,厭惡語調
我晚餐要吃什麼啊？,平淡語氣
我今天買到了一雙限量版的鞋子，超爽的！,開心語調
最近壓力很大，感覺好累。,悲傷語調
那個司機居然在紅燈的時候加速，真是太危險了！,憤怒語調
我好擔心這次的考試，感覺自己準備得不夠好。,平淡語氣
你知道嗎？劉永樂居然在一週內瘦了10公斤！,驚奇語調
這頓飯真的太油膩了，我吃不下了。,厭惡語調
我下週可能要出差，你有什麼建議嗎？,平淡語氣
我剛拿到駕照了！終於可以自己開車了！,開心語調
我昨天的面試表現不好，感覺沒機會了。,悲傷語調
這次合作完全失敗了，大家都超不負責任！,憤怒語調
我晚上要一個人去醫院看診，我有點害怕。,平淡語氣
你知道嗎？我剛發現陳思愷居然是個作家！,驚奇語調
那家餐廳的服務態度太差了，讓人沒心情吃飯。,厭惡語調
這週末天氣好嗎？我想要去爬山。,平淡語氣
我今天拿到了公司的錄取通知書！太開心了！,開心語調
我的朋友要搬到另一個城市了，真的很捨不得他。,悲傷語調
他明明答應會幫忙的，結果什麼都沒做！,憤怒語調
這次的檢查報告結果還沒出來，我好緊張...,平淡語氣
你知道嗎？那家超市竟然開始賣奢侈品了！,驚奇語調
這天氣實在太潮濕了，讓人很不舒服。,厭惡語調
下週有個演講，你打算參加嗎？,平淡語氣
我剛贏了一場比賽，實在是太開心了！,開心語調
我家養了十年的狗今天走了，我好難過。,悲傷語調
今天有人在公車上大聲講電話，真是讓人火大！,憤怒語調
我這幾天總是感覺不舒服，是不是生病了。,平淡語氣
你不會相信，我剛剛在街上碰到了小學同學！,驚奇語調
這件衣服的材質摸起來刺刺的，穿著也不舒服。,厭惡語調
你覺得這部電影值得看嗎？,平淡語氣
我今天終於完成了那個難搞的專案，太開心了！,開心語調
今天我聽到了一個壞消息，我朋友的爸爸過世了....,悲傷語調
那個人今天又沒交工作報告！,憤怒語調
我明天有個很重要的演講，現在好緊張。,平淡語氣
你知道嗎？我剛剛看到我們的教授在打籃球！,驚奇語調
今天的外賣真的是太糟糕了，味道難吃死了。,厭惡語調
週末有沒有想去的地方？,平淡語氣
我今天中了小獎，雖然不是很多，但還是很開心！,開心語調
我最近心情不太好，感覺什麼事都不順利。,悲傷語調
今天那個客戶又放我鴿子了，真的讓人火大！,憤怒語調
最近新聞說疫情又開始變嚴重了，我有點害怕。,平淡語氣
你知道嗎？我朋友突然決定搬到國外去工作了！,驚奇語調
這杯咖啡喝起來太苦了，根本沒法喝。,厭惡語調
最近有什麼新出的好書推薦嗎？,平淡語氣
我終於學會了彈鋼琴的那首曲子！,開心語調
我今天被公司拒絕了...,悲傷語調
那個同事今天又在會議上插嘴，真是氣死我了！,憤怒語調
我好擔心下週的考試，感覺準備的不太夠。,平淡語氣
你聽說了嗎？我們班的那個同學得了獎學金！,驚奇語調
今天的天氣又熱又黏，真是讓人受不了。,厭惡語調
你今晚有空嗎？我想和你聊聊。,平淡語氣
我剛剛中午抽到了免費電影票欸，超爽的！,開心語調
我今天跟朋友吵架了，有點難過，我不知道該怎麼辦。,悲傷語調
今天我手機被偷了，真的很不爽！,憤怒語調
最近社區裡好像有人遇到暴露狂，我有點擔心。,平淡語氣
你知道嗎？我學長居然自己創業開了一家公司！,驚奇語調
今天的麵真的是煮得太爛了，根本沒辦法吃。,厭惡語調
你週末有沒有空？想不想一起去看展覽嗎？,平淡語氣
我剛完成了人生第一次跳傘！那感覺真的此生難忘！,開心語調
我昨天發現我種了半年多的櫻花枯萎了，真的很心疼。,悲傷語調
我今天騎車被一台汽車逼車，還差點被撞到，那台車真他媽白癡！,憤怒語調
明天要去參加大學的面試，我有點緊張怕會表現得不好。,平淡語氣
你相信嗎？我今天在西門町遇到了我國中的老師！,驚奇語調
今天去看了個房子，結果環境整個超亂的，完全不是預期中的樣子。,厭惡語調
你對這次政府的新政策有什麼看法？,平淡語氣
我剛學會騎機車了！感覺超自由的，不用再搭公車了！,開心語調
我剛剛送走了我最好的朋友，他要去國外念書，好空虛。,悲傷語調
今天在銀行排了快一個小時，結果窗口的人辦事效率超慢，浪費我時間！,憤怒語調
最近疫情又升溫了，我真的有點害怕，不敢隨便出門。,平淡語氣
你知道嗎？我們鄰居的貓竟然學會自己開門，真的超聰明！,驚奇語調
今天去逛了一家新開的餐廳，結果環境超髒，讓我一點食慾都沒有。,厭惡語調
最近有什麼好看的劇嗎？,平淡語氣
我剛剛收到面試通知了！終於有機會去應徵我夢想中的公司！,開心語調
我養了五年的金魚今天死了，我很傷心。,悲傷語調
今天去便利商店買東西，結果結帳的時候店員態度超差的！,憤怒語調
昨天晚上我聽到家外面有奇怪的聲音，真的被嚇到了，不知道發生了什麼事。,平淡語氣
我剛剛才知道，我爸年輕時候居然是五月天的鼓手，完全沒想到！,驚奇語調
今天坐計程車的時候，車裡的味道超怪，讓我差點吐了。,厭惡語調
下週有個朋友的生日派對，你要一起去嗎？,平淡語氣
我剛拿到了獎學金，完全沒想到能拿到這麼多！,開心語調
今天是我和朋友最後一次見面了，因為他要去國外定居。,悲傷語調
今天在網路上買的東西到了，結果完全跟圖片不一樣，被坑的好慘，有夠氣！,憤怒語調
這幾天一直有詐騙電話打來，我有點擔心個資外洩了。,平淡語氣
你知道嗎？我朋友居然剛買了一台特斯拉，這麼年輕就這麼有錢！,驚奇語調
今天路上有人亂丟垃圾，真的很沒品！,厭惡語調
下週末有空嗎？我們可以去爬象山，天氣應該會不錯。,平淡語氣
我今天去海邊，衝浪真的超好玩！,開心語調
我的手機不小心掉進水裡了，現在完全壞掉了，我現在頭超痛。,悲傷語調
今天外送又遲到了，還送錯餐點，真的很誇張！,憤怒語調
最近我晚上都睡不好，一直做惡夢。,平淡語氣
我朋友竟然中了一百萬！這也太誇張了吧！,驚奇語調
今天我去的那家餐廳，服務態度超差，整個用餐過程超不爽！,厭惡語調
禮拜天要幹嘛？要不要一起去看電影？,平淡語氣
我今天參加了馬拉松，順利跑完全程！真的很有成就感！,開心語調
我今天收到消息，我的朋友要搬去國外了，感覺心裡很空虛。,悲傷語調
今天被計程車司機繞路，結果車費比平常多了一倍，真是氣死我了！,憤怒語調
最近社區好像發生了幾起竊盜案，我開始有點擔心家裡的安全。,平淡語氣
你知道嗎？我昨天在百貨公司碰到了周杰倫，超意外的！,驚奇語調
今天去了一家餐廳，結果桌子油膩膩的，環境真的很糟糕。,厭惡語調
你覺得這次要不要參加學校的志工活動？聽說蠻有趣的。,平淡語氣
我今天終於有駕照了！可以自己開車了，超爽的！,開心語調
我的寵物生病了，好難過，不知道牠會不會好起來。,悲傷語調
今天去餐廳吃飯，結果服務生態度超差，整個氣氛都被搞壞了。,憤怒語調
最近常常有詐騙電話，我有點怕自己的個資外洩了。,平淡語氣
你知道嗎？我朋友剛中了五千萬的樂透！這也太誇張了吧！,驚奇語調
今天去公園野餐，結果草地上到處都是垃圾，有夠髒的。,厭惡語調
你這週末有沒有計劃？要不要一起去台中玩？,平淡語氣
我今天買到了限量版的球鞋！排隊排了一整天，但超值得！,開心語調
我今天才發現，我喜歡的那家咖啡店要關門了，以後就沒辦法再喝到我最喜歡的咖啡了。,悲傷語調
今天我的電腦又當機了，害我工作進度全都延遲，還害我被老闆罵，超氣的！,憤怒語調
最近晚上總覺得家裡附近很安靜，我一個人待著有點怕。,平淡語氣
你相信嗎？我今天在捷運上碰到了高中老師，真的太巧了！,驚奇語調
今天中午點的外賣超難吃，菜都涼了，真的很不爽。,厭惡語調
這週五有個聚餐活動，你要不要一起去？,平淡語氣
我今天跟張家銘一起去看了一場演唱會，氣氛嗨到爆！,開心語調
今天我心情超差，我家養的狗狗生病了，真的很難過。,悲傷語調
今天我排隊排了半個小時，結果前面的人插隊，店員竟然不管！,憤怒語調
